INPUT_TABLE
Variable ID
AgGDPCtrlSteep

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,Non.CO2,ctrl.name,steepness
Africa_Eastern,biomass,biomassAEZ01,biomassAEZ01,2010,BC_AWB,GDP_control,60
Africa_Northern,biomass,biomassAEZ01,biomassAEZ01,2010,BC_AWB,GDP_control,60
Africa_Southern,biomass,biomassAEZ01,biomassAEZ01,2010,BC_AWB,GDP_control,60
Africa_Western,biomass,biomassAEZ01,biomassAEZ01,2010,BC_AWB,GDP_control,60
Australia_NZ,biomass,biomassAEZ01,biomassAEZ01,2010,BC_AWB,GDP_control,60
Brazil,biomass,biomassAEZ01,biomassAEZ01,2010,BC_AWB,GDP_control,60
India,biomass,biomassAEZ01,biomassAEZ01,2010,BC_AWB,GDP_control,60
Mexico,biomass,biomassAEZ01,biomassAEZ01,2010,BC_AWB,GDP_control,60
Middle East,biomass,biomassAEZ01,biomassAEZ01,2010,BC_AWB,GDP_control,60
Pakistan,biomass,biomassAEZ01,biomassAEZ01,2010,BC_AWB,GDP_control,60
South Africa,biomass,biomassAEZ01,biomassAEZ01,2010,BC_AWB,GDP_control,60
South America_Northern,biomass,biomassAEZ01,biomassAEZ01,2010,BC_AWB,GDP_control,60
South America_Southern,biomass,biomassAEZ01,biomassAEZ01,2010,BC_AWB,GDP_control,60
Africa_Eastern,biomass,biomassAEZ01,biomassAEZ01,2010,OC_AWB,GDP_control,60
Africa_Northern,biomass,biomassAEZ01,biomassAEZ01,2010,OC_AWB,GDP_control,60
Africa_Southern,biomass,biomassAEZ01,biomassAEZ01,2010,OC_AWB,GDP_control,60
Africa_Western,biomass,biomassAEZ01,biomassAEZ01,2010,OC_AWB,GDP_control,60
Australia_NZ,biomass,biomassAEZ01,biomassAEZ01,2010,OC_AWB,GDP_control,60
Brazil,biomass,biomassAEZ01,biomassAEZ01,2010,OC_AWB,GDP_control,60
India,biomass,biomassAEZ01,biomassAEZ01,2010,OC_AWB,GDP_control,60
Mexico,biomass,biomassAEZ01,biomassAEZ01,2010,OC_AWB,GDP_control,60
Middle East,biomass,biomassAEZ01,biomassAEZ01,2010,OC_AWB,GDP_control,60
Pakistan,biomass,biomassAEZ01,biomassAEZ01,2010,OC_AWB,GDP_control,60
South Africa,biomass,biomassAEZ01,biomassAEZ01,2010,OC_AWB,GDP_control,60
South America_Northern,biomass,biomassAEZ01,biomassAEZ01,2010,OC_AWB,GDP_control,60
South America_Southern,biomass,biomassAEZ01,biomassAEZ01,2010,OC_AWB,GDP_control,60
Africa_Eastern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,BC_AWB,GDP_control,60
Africa_Northern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,BC_AWB,GDP_control,60
Africa_Southern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,BC_AWB,GDP_control,60
Africa_Western,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,BC_AWB,GDP_control,60
Australia_NZ,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,BC_AWB,GDP_control,60
Brazil,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,BC_AWB,GDP_control,60
India,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,BC_AWB,GDP_control,60
Mexico,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,BC_AWB,GDP_control,60
Middle East,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,BC_AWB,GDP_control,60
Pakistan,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,BC_AWB,GDP_control,60
South Africa,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,BC_AWB,GDP_control,60
South America_Northern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,BC_AWB,GDP_control,60
South America_Southern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,BC_AWB,GDP_control,60
Africa_Eastern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,OC_AWB,GDP_control,60
Africa_Northern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,OC_AWB,GDP_control,60
Africa_Southern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,OC_AWB,GDP_control,60
Africa_Western,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,OC_AWB,GDP_control,60
Australia_NZ,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,OC_AWB,GDP_control,60
Brazil,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,OC_AWB,GDP_control,60
India,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,OC_AWB,GDP_control,60
Mexico,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,OC_AWB,GDP_control,60
Middle East,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,OC_AWB,GDP_control,60
Pakistan,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,OC_AWB,GDP_control,60
South Africa,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,OC_AWB,GDP_control,60
South America_Northern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,OC_AWB,GDP_control,60
South America_Southern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2010,OC_AWB,GDP_control,60
Africa_Eastern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,BC_AWB,GDP_control,60
Africa_Northern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,BC_AWB,GDP_control,60
Africa_Southern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,BC_AWB,GDP_control,60
Africa_Western,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,BC_AWB,GDP_control,60
