# File: BC_total_CEDS_emissions.csv
# Title: CEDS BC emissions
# Units: kt
# Source: CEDS https://github.com/JGCRI/CEDS/releases/tag/2021_4_21_Release
# Description: CEDS output data for BC emissions
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
iso,sector,fuel,units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
abw,11A_Volcanoes,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,11B_Forest-fires,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,11C_Other-natural,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,1A1a_Electricity-autoproducer,biomass,kt,2.23E-05,1.49E-05,1.48E-05,1.47E-05,1.46E-05,5.43E-05,5.42E-05,6.83E-05,6.80E-05,8.21E-05,1.43E-05,1.42E-05,1.42E-05,1.43E-05,1.43E-05,1.42E-05,1.39E-05,0,0,0,0.000449292,0.000487849,0.00048308,0.000532783,0.000524793,0.00057127,0.000650271,0.000692777,0.000924229,0.001924104,0.001236405,0.001256891,0.001339888,0.001248217,0.001482375,0.001147994,0.001149475,0.001172229,0.001077609,0.00106294,0.001264139,0.000845368,0.000842784,0.000903002,0.001188943,0.001577707,0.00147223,0.001231543,0.001226527,0.001222103
abw,1A1a_Electricity-autoproducer,brown_coal,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,1A1a_Electricity-autoproducer,coal_coke,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,1A1a_Electricity-autoproducer,diesel_oil,kt,1.17E-05,9.23E-06,8.45E-06,1.13E-05,1.12E-05,4.83E-06,1.67E-05,8.03E-06,7.23E-06,7.13E-06,8.68E-06,6.44E-06,5.68E-06,3.37E-06,6.15E-06,7.29E-06,1.72E-06,3.66E-06,5.56E-06,4.85E-06,1.57E-05,1.13E-05,1.03E-05,1.05E-05,1.31E-05,1.30E-05,1.07E-05,1.18E-05,1.13E-05,1.20E-05,1.57E-05,1.57E-05,1.79E-05,1.64E-05,1.64E-05,1.19E-05,1.28E-05,1.35E-05,1.40E-05,1.41E-05,1.23E-05,1.25E-05,1.11E-05,1.14E-05,9.49E-06,8.79E-06,8.99E-06,7.42E-06,7.66E-06,7.45E-06
abw,1A1a_Electricity-autoproducer,hard_coal,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,1A1a_Electricity-autoproducer,heavy_oil,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000275193,0.000253134,0.000490985,0.000490517,0.000475979,0.00047565,0.000479607,0.000465425,0.000469916,0.000447501
abw,1A1a_Electricity-autoproducer,light_oil,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
