# File: OC_total_CEDS_emissions.csv
# Title: CEDS OC emissions
# Units: kt
# Source: CEDS https://github.com/JGCRI/CEDS/releases/tag/2021_4_21_Release 
# Description: CEDS output data for OC emissions
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
iso,sector,fuel,units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
abw,11A_Volcanoes,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,11B_Forest-fires,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,11C_Other-natural,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,1A1a_Electricity-autoproducer,biomass,kt,0.000122772,8.22E-05,8.17E-05,8.11E-05,8.05E-05,0.000299965,0.000297569,0.000372478,0.000368287,0.00044165,7.63E-05,7.60E-05,7.62E-05,7.65E-05,7.66E-05,7.62E-05,7.48E-05,0,0,0,0.002449436,0.002647797,0.00261037,0.002866426,0.002811309,0.003047291,0.0034576,0.003671935,0.004883316,0.010134657,0.006492302,0.006599872,0.007035686,0.006554326,0.007783878,0.006028058,0.006035836,0.006155314,0.005658471,0.005581446,0.006637932,0.004357939,0.004270076,0.004501267,0.005836297,0.007633123,0.007117228,0.005949581,0.005921756,0.005897213
abw,1A1a_Electricity-autoproducer,brown_coal,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,1A1a_Electricity-autoproducer,coal_coke,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,1A1a_Electricity-autoproducer,diesel_oil,kt,2.92E-06,2.31E-06,2.11E-06,2.82E-06,2.79E-06,1.21E-06,4.18E-06,2.01E-06,1.81E-06,1.78E-06,2.17E-06,1.66E-06,1.50E-06,9.16E-07,1.72E-06,2.09E-06,5.05E-07,1.11E-06,1.72E-06,1.54E-06,5.10E-06,3.73E-06,3.48E-06,3.64E-06,4.63E-06,4.70E-06,3.96E-06,4.45E-06,4.35E-06,4.71E-06,6.29E-06,6.29E-06,7.14E-06,6.57E-06,6.55E-06,4.76E-06,5.13E-06,5.38E-06,5.60E-06,5.62E-06,4.91E-06,5.06E-06,4.56E-06,4.73E-06,3.98E-06,3.73E-06,3.82E-06,3.15E-06,3.25E-06,3.16E-06
abw,1A1a_Electricity-autoproducer,hard_coal,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,1A1a_Electricity-autoproducer,heavy_oil,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000103185,9.48E-05,0.00018372,0.000183353,0.000177731,0.00017742,0.000178655,0.000173129,0.000174543,0.000165961
abw,1A1a_Electricity-autoproducer,light_oil,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
