"","sector","fuel","units","year","emissions","Non.CO2","CEDS_agg_sector","CEDS_agg_fuel","iso"
"1","1A3di_International-shipping","diesel_oil","kt",1971,1.06234045219826e-06,"BC","trn_intl_ship","refined liquids","abw"
"2","1A3di_International-shipping","heavy_oil","kt",1971,1.71095869655871e-06,"BC","trn_intl_ship","refined liquids","abw"
"3","1A3di_International-shipping","diesel_oil","kt",1971,4.87697516334029e-06,"NMVOC","trn_intl_ship","refined liquids","abw"
"4","1A3di_International-shipping","heavy_oil","kt",1971,7.85449684201121e-06,"NMVOC","trn_intl_ship","refined liquids","abw"
"5","1A3di_International-shipping","diesel_oil","kt",1971,4.66696187879454e-08,"NH3","trn_intl_ship","refined liquids","abw"
"6","1A3di_International-shipping","heavy_oil","kt",1971,2.03012841727562e-07,"NH3","trn_intl_ship","refined liquids","abw"
"7","1A3di_International-shipping","diesel_oil","kt",1971,8.07384405031455e-07,"OC","trn_intl_ship","refined liquids","abw"
"8","1A3di_International-shipping","heavy_oil","kt",1971,1.29974888324428e-06,"OC","trn_intl_ship","refined liquids","abw"
"9","1A3di_International-shipping","diesel_oil","kt",1971,0.0001381350711695,"NOx","trn_intl_ship","refined liquids","abw"
"10","1A3di_International-shipping","heavy_oil","kt",1971,0.000237137666985308,"NOx","trn_intl_ship","refined liquids","abw"
"11","1A3di_International-shipping","diesel_oil","kt",1971,1.58321975013711e-05,"SO2","trn_intl_ship","refined liquids","abw"
"12","1A3di_International-shipping","heavy_oil","kt",1971,0.000152481862966434,"SO2","trn_intl_ship","refined liquids","abw"
"13","1A3di_International-shipping","diesel_oil","kt",1971,4.38461068512747e-06,"CO","trn_intl_ship","refined liquids","abw"
"14","1A3di_International-shipping","heavy_oil","kt",1971,7.06344680355553e-06,"CO","trn_intl_ship","refined liquids","abw"
"15","1A3di_International-shipping","diesel_oil","kt",1971,2.47348979576111e-07,"N2O","trn_intl_ship","refined liquids","abw"
"16","1A3di_International-shipping","heavy_oil","kt",1971,3.94358278758138e-07,"N2O","trn_intl_ship","refined liquids","abw"
"17","1A3di_International-shipping","diesel_oil","kt",1972,1.01257057453375e-06,"BC","trn_intl_ship","refined liquids","abw"
"18","1A3di_International-shipping","heavy_oil","kt",1972,1.6768465912155e-06,"BC","trn_intl_ship","refined liquids","abw"
"19","1A3di_International-shipping","diesel_oil","kt",1972,4.64828616861e-06,"NMVOC","trn_intl_ship","refined liquids","abw"
"20","1A3di_International-shipping","heavy_oil","kt",1972,7.69692380827033e-06,"NMVOC","trn_intl_ship","refined liquids","abw"
"21","1A3di_International-shipping","diesel_oil","kt",1972,4.43115935997141e-08,"NH3","trn_intl_ship","refined liquids","abw"
"22","1A3di_International-shipping","heavy_oil","kt",1972,1.99402171198713e-07,"NH3","trn_intl_ship","refined liquids","abw"
"23","1A3di_International-shipping","diesel_oil","kt",1972,7.68806148955039e-07,"OC","trn_intl_ship","refined liquids","abw"
"24","1A3di_International-shipping","heavy_oil","kt",1972,1.27395831599178e-06,"OC","trn_intl_ship","refined liquids","abw"
"25","1A3di_International-shipping","diesel_oil","kt",1972,0.00013166525364251,"NOx","trn_intl_ship","refined liquids","abw"
"26","1A3di_International-shipping","heavy_oil","kt",1972,0.00023240987727114,"NOx","trn_intl_ship","refined liquids","abw"
"27","1A3di_International-shipping","diesel_oil","kt",1972,1.50904705597138e-05,"SO2","trn_intl_ship","refined liquids","abw"
"28","1A3di_International-shipping","heavy_oil","kt",1972,0.000149441767750657,"SO2","trn_intl_ship","refined liquids","abw"
"29","1A3di_International-shipping","diesel_oil","kt",1972,4.18079885613302e-06,"CO","trn_intl_ship","refined liquids","abw"
"30","1A3di_International-shipping","heavy_oil","kt",1972,6.92147092027534e-06,"CO","trn_intl_ship","refined liquids","abw"
"31","1A3di_International-shipping","diesel_oil","kt",1972,2.34851446078485e-07,"N2O","trn_intl_ship","refined liquids","abw"
"32","1A3di_International-shipping","heavy_oil","kt",1972,3.87726443997498e-07,"N2O","trn_intl_ship","refined liquids","abw"
"33","1A3di_International-shipping","diesel_oil","kt",1973,1.00668408702136e-06,"BC","trn_intl_ship","refined liquids","abw"
"34","1A3di_International-shipping","heavy_oil","kt",1973,1.90691874868069e-06,"BC","trn_intl_ship","refined liquids","abw"
"35","1A3di_International-shipping","diesel_oil","kt",1973,4.62140949822418e-06,"NMVOC","trn_intl_ship","refined liquids","abw"
"36","1A3di_International-shipping","heavy_oil","kt",1973,8.75213335294115e-06,"NMVOC","trn_intl_ship","refined liquids","abw"
"37","1A3di_International-shipping","diesel_oil","kt",1973,4.48222462819088e-08,"NH3","trn_intl_ship","refined liquids","abw"
"38","1A3di_International-shipping","heavy_oil","kt",1973,2.26470297003329e-07,"NH3","trn_intl_ship","refined liquids","abw"
"39","1A3di_International-shipping","diesel_oil","kt",1973,7.64337252386235e-07,"OC","trn_intl_ship","refined liquids","abw"
"40","1A3di_International-shipping","heavy_oil","kt",1973,1.44846627458379e-06,"OC","trn_intl_ship","refined liquids","abw"
"41","1A3di_International-shipping","diesel_oil","kt",1973,0.000130899831667924,"NOx","trn_intl_ship","refined liquids","abw"
"42","1A3di_International-shipping","heavy_oil","kt",1973,0.000264297913799666,"NOx","trn_intl_ship","refined liquids","abw"
"43","1A3di_International-shipping","diesel_oil","kt",1973,1.50027434749801e-05,"SO2","trn_intl_ship","refined liquids","abw"
"44","1A3di_International-shipping","heavy_oil","kt",1973,0.00016994596300361,"SO2","trn_intl_ship","refined liquids","abw"
"45","1A3di_International-shipping","diesel_oil","kt",1973,4.1566735762486e-06,"CO","trn_intl_ship","refined liquids","abw"
"46","1A3di_International-shipping","heavy_oil","kt",1973,7.87220188645946e-06,"CO","trn_intl_ship","refined liquids","abw"
"47","1A3di_International-shipping","diesel_oil","kt",1973,2.33547493784683e-07,"N2O","trn_intl_ship","refined liquids","abw"
"48","1A3di_International-shipping","heavy_oil","kt",1973,4.41145266037734e-07,"N2O","trn_intl_ship","refined liquids","abw"
"49","1A3di_International-shipping","diesel_oil","kt",1974,9.15822603272812e-07,"BC","trn_intl_ship","refined liquids","abw"
"50","1A3di_International-shipping","heavy_oil","kt",1974,1.57315824747394e-06,"BC","trn_intl_ship","refined liquids","abw"
"51","1A3di_International-shipping","diesel_oil","kt",1974,4.20292860041253e-06,"NMVOC","trn_intl_ship","refined liquids","abw"
"52","1A3di_International-shipping","heavy_oil","kt",1974,7.22070302725457e-06,"NMVOC","trn_intl_ship","refined liquids","abw"
"53","1A3di_International-shipping","diesel_oil","kt",1974,4.03266070402055e-08,"NH3","trn_intl_ship","refined liquids","abw"
"54","1A3di_International-shipping","heavy_oil","kt",1974,1.88190832854292e-07,"NH3","trn_intl_ship","refined liquids","abw"
"55","1A3di_International-shipping","diesel_oil","kt",1974,6.9675415497244e-07,"OC","trn_intl_ship","refined liquids","abw"
"56","1A3di_International-shipping","heavy_oil","kt",1974,1.19635600885943e-06,"OC","trn_intl_ship","refined liquids","abw"
"57","1A3di_International-shipping","diesel_oil","kt",1974,0.000119084470589727,"NOx","trn_intl_ship","refined liquids","abw"
"58","1A3di_International-shipping","heavy_oil","kt",1974,0.000218039243165218,"NOx","trn_intl_ship","refined liquids","abw"
"59","1A3di_International-shipping","diesel_oil","kt",1974,1.36486230015313e-05,"SO2","trn_intl_ship","refined liquids","abw"
"60","1A3di_International-shipping","heavy_oil","kt",1974,0.000140200988391577,"SO2","trn_intl_ship","refined liquids","abw"
"61","1A3di_International-shipping","diesel_oil","kt",1974,3.78173959354816e-06,"CO","trn_intl_ship","refined liquids","abw"
"62","1A3di_International-shipping","heavy_oil","kt",1974,6.49482410053088e-06,"CO","trn_intl_ship","refined liquids","abw"
"63","1A3di_International-shipping","diesel_oil","kt",1974,2.12834870489974e-07,"N2O","trn_intl_ship","refined liquids","abw"
"64","1A3di_International-shipping","heavy_oil","kt",1974,3.6293946336185e-07,"N2O","trn_intl_ship","refined liquids","abw"
"65","1A3di_International-shipping","diesel_oil","kt",1975,7.74478054495872e-07,"BC","trn_intl_ship","refined liquids","abw"
"66","1A3di_International-shipping","heavy_oil","kt",1975,6.82840525286321e-07,"BC","trn_intl_ship","refined liquids","abw"
"67","1A3di_International-shipping","diesel_oil","kt",1975,3.55529879762859e-06,"NMVOC","trn_intl_ship","refined liquids","abw"
"68","1A3di_International-shipping","heavy_oil","kt",1975,3.13474479972894e-06,"NMVOC","trn_intl_ship","refined liquids","abw"
"69","1A3di_International-shipping","diesel_oil","kt",1975,3.39678229072795e-08,"NH3","trn_intl_ship","refined liquids","abw"
"70","1A3di_International-shipping","heavy_oil","kt",1975,8.08757688268559e-08,"NH3","trn_intl_ship","refined liquids","abw"
"71","1A3di_International-shipping","diesel_oil","kt",1975,5.88775597059511e-07,"OC","trn_intl_ship","refined liquids","abw"
"72","1A3di_International-shipping","heavy_oil","kt",1975,5.19222435868415e-07,"OC","trn_intl_ship","refined liquids","abw"
"73","1A3di_International-shipping","diesel_oil","kt",1975,0.000100704889827824,"NOx","trn_intl_ship","refined liquids","abw"
"74","1A3di_International-shipping","heavy_oil","kt",1975,9.46408246811868e-05,"NOx","trn_intl_ship","refined liquids","abw"
"75","1A3di_International-shipping","diesel_oil","kt",1975,1.15421468625814e-05,"SO2","trn_intl_ship","refined liquids","abw"
"76","1A3di_International-shipping","heavy_oil","kt",1975,6.08552360867008e-05,"SO2","trn_intl_ship","refined liquids","abw"
"77","1A3di_International-shipping","diesel_oil","kt",1975,3.19782789941388e-06,"CO","trn_intl_ship","refined liquids","abw"
"78","1A3di_International-shipping","heavy_oil","kt",1975,2.8193293013042e-06,"CO","trn_intl_ship","refined liquids","abw"
"79","1A3di_International-shipping","diesel_oil","kt",1975,1.7954420679562e-07,"N2O","trn_intl_ship","refined liquids","abw"
"80","1A3di_International-shipping","heavy_oil","kt",1975,1.58516506900638e-07,"N2O","trn_intl_ship","refined liquids","abw"
"81","1A3di_International-shipping","diesel_oil","kt",1976,1.15316238980542e-06,"BC","trn_intl_ship","refined liquids","abw"
"82","1A3di_International-shipping","heavy_oil","kt",1976,9.71844380093241e-07,"BC","trn_intl_ship","refined liquids","abw"
"83","1A3di_International-shipping","diesel_oil","kt",1976,5.29432372989932e-06,"NMVOC","trn_intl_ship","refined liquids","abw"
"84","1A3di_International-shipping","heavy_oil","kt",1976,4.45999503496429e-06,"NMVOC","trn_intl_ship","refined liquids","abw"
"85","1A3di_International-shipping","diesel_oil","kt",1976,5.19978223472254e-08,"NH3","trn_intl_ship","refined liquids","abw"
"86","1A3di_International-shipping","heavy_oil","kt",1976,1.15813331591548e-07,"NH3","trn_intl_ship","refined liquids","abw"
"87","1A3di_International-shipping","diesel_oil","kt",1976,8.76872367764574e-07,"OC","trn_intl_ship","refined liquids","abw"
"88","1A3di_International-shipping","heavy_oil","kt",1976,7.39787199758253e-07,"OC","trn_intl_ship","refined liquids","abw"
"89","1A3di_International-shipping","diesel_oil","kt",1976,0.000149945174887742,"NOx","trn_intl_ship","refined liquids","abw"
"90","1A3di_International-shipping","heavy_oil","kt",1976,0.000134695631715729,"NOx","trn_intl_ship","refined liquids","abw"
"91","1A3di_International-shipping","diesel_oil","kt",1976,1.71857286086187e-05,"SO2","trn_intl_ship","refined liquids","abw"
"92","1A3di_International-shipping","heavy_oil","kt",1976,8.66114663802992e-05,"SO2","trn_intl_ship","refined liquids","abw"
"93","1A3di_International-shipping","diesel_oil","kt",1976,4.76016428215055e-06,"CO","trn_intl_ship","refined liquids","abw"
"94","1A3di_International-shipping","heavy_oil","kt",1976,4.01092293287462e-06,"CO","trn_intl_ship","refined liquids","abw"
"95","1A3di_International-shipping","diesel_oil","kt",1976,2.67079723874385e-07,"N2O","trn_intl_ship","refined liquids","abw"
"96","1A3di_International-shipping","heavy_oil","kt",1976,2.24536051044837e-07,"N2O","trn_intl_ship","refined liquids","abw"
"97","1A3di_International-shipping","diesel_oil","kt",1977,9.80458951251225e-07,"BC","trn_intl_ship","refined liquids","abw"
"98","1A3di_International-shipping","heavy_oil","kt",1977,7.39145662137059e-07,"BC","trn_intl_ship","refined liquids","abw"
"99","1A3di_International-shipping","diesel_oil","kt",1977,4.49994112109611e-06,"NMVOC","trn_intl_ship","refined liquids","abw"
"100","1A3di_International-shipping","heavy_oil","kt",1977,3.39182295315695e-06,"NMVOC","trn_intl_ship","refined liquids","abw"
"101","1A3di_International-shipping","diesel_oil","kt",1977,4.29344677614804e-08,"NH3","trn_intl_ship","refined liquids","abw"
"102","1A3di_International-shipping","heavy_oil","kt",1977,8.79134339877931e-08,"NH3","trn_intl_ship","refined liquids","abw"
"103","1A3di_International-shipping","diesel_oil","kt",1977,7.44197441198993e-07,"OC","trn_intl_ship","refined liquids","abw"
"104","1A3di_International-shipping","heavy_oil","kt",1977,5.62237077828909e-07,"OC","trn_intl_ship","refined liquids","abw"
"105","1A3di_International-shipping","diesel_oil","kt",1977,0.000127488790771554,"NOx","trn_intl_ship","refined liquids","abw"
"106","1A3di_International-shipping","heavy_oil","kt",1977,0.000102445729075822,"NOx","trn_intl_ship","refined liquids","abw"
"107","1A3di_International-shipping","diesel_oil","kt",1977,1.4611906872801e-05,"SO2","trn_intl_ship","refined liquids","abw"
"108","1A3di_International-shipping","heavy_oil","kt",1977,6.58731901579131e-05,"SO2","trn_intl_ship","refined liquids","abw"
"109","1A3di_International-shipping","diesel_oil","kt",1977,4.04810696036815e-06,"CO","trn_intl_ship","refined liquids","abw"
"110","1A3di_International-shipping","heavy_oil","kt",1977,3.05039170952994e-06,"CO","trn_intl_ship","refined liquids","abw"
"111","1A3di_International-shipping","diesel_oil","kt",1977,2.26939329596396e-07,"N2O","trn_intl_ship","refined liquids","abw"
"112","1A3di_International-shipping","heavy_oil","kt",1977,1.71737871045921e-07,"N2O","trn_intl_ship","refined liquids","abw"
"113","1A3di_International-shipping","diesel_oil","kt",1978,8.18717180902296e-07,"BC","trn_intl_ship","refined liquids","abw"
"114","1A3di_International-shipping","heavy_oil","kt",1978,7.77621748729702e-07,"BC","trn_intl_ship","refined liquids","abw"
"115","1A3di_International-shipping","diesel_oil","kt",1978,3.75815447042509e-06,"NMVOC","trn_intl_ship","refined liquids","abw"
"116","1A3di_International-shipping","heavy_oil","kt",1978,3.57024674690383e-06,"NMVOC","trn_intl_ship","refined liquids","abw"
"117","1A3di_International-shipping","diesel_oil","kt",1978,3.64310892541207e-08,"NH3","trn_intl_ship","refined liquids","abw"
"118","1A3di_International-shipping","heavy_oil","kt",1978,9.20364360104102e-08,"NH3","trn_intl_ship","refined liquids","abw"
"119","1A3di_International-shipping","diesel_oil","kt",1978,6.23163368820486e-07,"OC","trn_intl_ship","refined liquids","abw"
"120","1A3di_International-shipping","heavy_oil","kt",1978,5.90567131066799e-07,"OC","trn_intl_ship","refined liquids","abw"
"121","1A3di_International-shipping","diesel_oil","kt",1978,0.000106457395077791,"NOx","trn_intl_ship","refined liquids","abw"
"122","1A3di_International-shipping","heavy_oil","kt",1978,0.000107778501419691,"NOx","trn_intl_ship","refined liquids","abw"
"123","1A3di_International-shipping","diesel_oil","kt",1978,1.22014482992756e-05,"SO2","trn_intl_ship","refined liquids","abw"
