# File: Land_type_area_ha.csv
# Title: Area of land cells
# Units: ha
# Author: moirai
# Description: area (ha) for sage land cells in country X glu X land type X protected category X year
# Original source: hyde areas; reference veg; country raster; new glu raster; hyde land area
# Source: https://github.com/JGCRI/moirai
# ----------
iso,glu_code,land_type,year,value
abw,143,2,1700,7672
abw,143,2,1710,7657
abw,143,2,1720,7637
abw,143,2,1730,7620
abw,143,2,1740,7601
abw,143,2,1750,7580
abw,143,2,1760,7539
abw,143,2,1770,7515
abw,143,2,1780,7490
abw,143,2,1790,7464
abw,143,2,1800,7437
abw,143,2,1810,7408
abw,143,2,1820,7397
abw,143,2,1830,7386
abw,143,2,1840,7376
abw,143,2,1850,7365
abw,143,2,1860,7307
abw,143,2,1870,7199
abw,143,2,1880,6803
abw,143,2,1890,6610
abw,143,2,1900,6274
abw,143,2,1910,6309
abw,143,2,1920,6485
abw,143,2,1930,5806
abw,143,2,1940,3530
abw,143,2,1950,2804
abw,143,2,1960,2059
abw,143,2,1970,1839
abw,143,2,1980,1560
abw,143,2,1990,1406
abw,143,2,2000,705
abw,143,2,2001,705
abw,143,2,2002,705
abw,143,2,2003,705
abw,143,2,2004,705
abw,143,2,2005,705
abw,143,2,2006,705
abw,143,2,2007,705
abw,143,2,2008,705
abw,143,2,2009,705
abw,143,2,2010,705
abw,143,2,2011,705
abw,143,2,2012,705
abw,143,2,2013,705
abw,143,2,2014,705
abw,143,2,2015,705
abw,143,2,2016,705
abw,143,12,1700,85
abw,143,12,1710,95
abw,143,12,1720,109
abw,143,12,1730,120
abw,143,12,1740,132
abw,143,12,1750,145
abw,143,12,1760,179
abw,143,12,1770,194
abw,143,12,1780,209
abw,143,12,1790,225
abw,143,12,1800,242
abw,143,12,1810,260
abw,143,12,1820,265
abw,143,12,1830,270
abw,143,12,1840,274
abw,143,12,1850,278
abw,143,12,1860,309
abw,143,12,1870,369
abw,143,12,1880,599
abw,143,12,1890,692
abw,143,12,1900,850
abw,143,12,1910,790
abw,143,12,1920,676
abw,143,12,1930,982
abw,143,12,1940,1979
abw,143,12,1950,2115
abw,143,12,1960,2000
abw,143,12,1970,2000
abw,143,12,1980,2000
abw,143,12,1990,2000
abw,143,12,2000,2000
abw,143,12,2001,2000
abw,143,12,2002,2000
abw,143,12,2003,2000
abw,143,12,2004,2000
abw,143,12,2005,2000
abw,143,12,2006,2000
abw,143,12,2007,2000
abw,143,12,2008,2000
abw,143,12,2009,2000
abw,143,12,2010,2000
abw,143,12,2011,2000
abw,143,12,2012,2000
abw,143,12,2013,2000
abw,143,12,2014,2000
abw,143,12,2015,2000
abw,143,12,2016,2000
abw,143,22,1700,46
abw,143,22,1710,50
abw,143,22,1720,54
abw,143,22,1730,58
abw,143,22,1740,62
abw,143,22,1750,67
abw,143,22,1760,72
abw,143,22,1770,78
abw,143,22,1780,84
abw,143,22,1790,90
abw,143,22,1800,97
abw,143,22,1810,104
abw,143,22,1820,107
abw,143,22,1830,110
abw,143,22,1840,113
abw,143,22,1850,117
abw,143,22,1860,132
abw,143,22,1870,161
abw,143,22,1880,262
abw,143,22,1890,313
abw,143,22,1900,402
abw,143,22,1910,392
abw,143,22,1920,356
abw,143,22,1930,558
abw,143,22,1940,1247
abw,143,22,1950,1555
abw,143,22,1960,2000
abw,143,22,1970,2000
abw,143,22,1980,2000
abw,143,22,1990,2000
abw,143,22,2000,2000
abw,143,22,2001,2000
abw,143,22,2002,2000
abw,143,22,2003,2000
abw,143,22,2004,2000
abw,143,22,2005,2000
abw,143,22,2006,2000
abw,143,22,2007,2000
abw,143,22,2008,2000
abw,143,22,2009,2000
abw,143,22,2010,2000
abw,143,22,2011,2000
abw,143,22,2012,2000
abw,143,22,2013,2000
abw,143,22,2014,2000
abw,143,22,2015,2000
abw,143,22,2016,2000
abw,143,32,1700,7
abw,143,32,1710,8
abw,143,32,1720,10
abw,143,32,1730,12
abw,143,32,1740,14
abw,143,32,1750,17
abw,143,32,1760,20
abw,143,32,1770,23
abw,143,32,1780,27
abw,143,32,1790,30
abw,143,32,1800,34
abw,143,32,1810,38
abw,143,32,1820,40
abw,143,32,1830,43
abw,143,32,1840,46
abw,143,32,1850,51
abw,143,32,1860,61
abw,143,32,1870,81
abw,143,32,1880,145
abw,143,32,1890,195
abw,143,32,1900,284
abw,143,32,1910,319
abw,143,32,1920,292
abw,143,32,1930,464
abw,143,32,1940,1053
abw,143,32,1950,1336
abw,143,32,1960,1751
abw,143,32,1970,1971
abw,143,32,1980,2249
abw,143,32,1990,2404
abw,143,32,2000,3105
abw,143,32,2001,3105
abw,143,32,2002,3105
abw,143,32,2003,3105
abw,143,32,2004,3105
abw,143,32,2005,3105
abw,143,32,2006,3105
abw,143,32,2007,3105
abw,143,32,2008,3105
abw,143,32,2009,3105
abw,143,32,2010,3105
abw,143,32,2011,3105
abw,143,32,2012,3105
abw,143,32,2013,3105
abw,143,32,2014,3105
abw,143,32,2015,3105
abw,143,32,2016,3105
afg,52,901,1710,5645
afg,52,901,1780,5797
afg,52,901,1810,5268
afg,52,901,1910,3949
afg,52,901,1940,3348
afg,52,901,2001,3723
afg,52,901,2002,3089
afg,52,901,2003,3080
afg,52,901,2004,3783
afg,52,901,2006,2317
afg,52,901,2012,3817
afg,52,901,2014,2363
afg,52,901,2016,3167
afg,52,902,1700,36594
afg,52,902,1710,22117
afg,52,902,1720,10899
afg,52,902,1730,22158
afg,52,902,1740,22327
afg,52,902,1750,28184
afg,52,902,1760,17749
afg,52,902,1770,6360
afg,52,902,1780,14428
afg,52,902,1790,10661
afg,52,902,1800,23593
afg,52,902,1810,14123
afg,52,902,1820,11294
afg,52,902,1830,14841
afg,52,902,1840,31925
afg,52,902,1850,19833
afg,52,902,1860,36573
afg,52,902,1870,22053
afg,52,902,1880,14399
afg,52,902,1890,26158
afg,52,902,1900,16036
afg,52,902,1910,17256
afg,52,902,1920,3311
afg,52,902,1930,16379
afg,52,902,1940,7187
afg,52,902,1950,11057
afg,52,902,1960,10961
afg,52,902,1970,13148
afg,52,902,1980,7904
afg,52,902,1990,2878
afg,52,902,2000,9349
afg,52,902,2001,10871
afg,52,902,2002,12821
afg,52,902,2003,3700
afg,52,902,2004,6293
afg,52,902,2005,18183
afg,52,902,2006,14321
afg,52,902,2007,18142
afg,52,902,2008,14073
afg,52,902,2009,22625
afg,52,902,2010,11670
afg,52,902,2011,9113
afg,52,902,2012,9152
afg,52,902,2013,11276
afg,52,902,2014,18996
afg,52,902,2015,13308
afg,52,902,2016,11911
afg,52,911,1710,291
afg,52,911,1780,736
afg,52,911,1810,387
afg,52,911,1910,619
afg,52,911,1940,2195
afg,52,911,2001,906
afg,52,911,2002,2046
afg,52,911,2003,763
afg,52,911,2004,1569
afg,52,911,2006,1189
afg,52,911,2012,811
afg,52,911,2014,1142
afg,52,911,2016,676
afg,52,912,1700,2491
afg,52,912,1710,5499
afg,52,912,1720,622
afg,52,912,1730,1918
afg,52,912,1740,3164
afg,52,912,1750,4728
afg,52,912,1760,1615
afg,52,912,1770,681
afg,52,912,1780,5602
afg,52,912,1790,1065
afg,52,912,1800,2474
afg,52,912,1810,5380
afg,52,912,1820,1550
afg,52,912,1830,2576
afg,52,912,1840,6856
afg,52,912,1850,5575
afg,52,912,1860,9067
afg,52,912,1870,3461
afg,52,912,1880,2795
afg,52,912,1890,5742
afg,52,912,1900,4623
afg,52,912,1910,6241
afg,52,912,1920,618
afg,52,912,1930,7535
afg,52,912,1940,3113
afg,52,912,1950,6729
afg,52,912,1960,10610
afg,52,912,1970,11670
afg,52,912,1980,4840
